,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5115864527629234, 0.022048693185121197)","(0.43639080976743316, 0.009957230168383137)","(0.005270987516269088, 0.0008061526675351709)",,"(0.25, 0.35)"
1,Leiden (Mod),Karate Club,"(0.5037878787878789, 0.017049458945010056)","(0.44171890519293117, 0.0025281429128513246)","(0.01086889998987317, 0.0013652582994210583)",,"(0.25, 0.35)"
2,LS (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.5164884135472371, 0.011949276005162154)","(0.23628328741965102, 0.03135425637913139)","(0.006773137516574934, 0.000329279786047508)",,"(0.25, 0.35)"
3,LS (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.5008912655971479, 0.012349738378387718)","(0.3498575738835478, 0.06542100216141675)","(0.0018453625234542415, 9.408678757783977e-05)",,"(0.25, 0.35)"
4,LS (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.5093582887700535, 0.014028588448036726)","(0.4290282228593917, 0.0004082669238285606)","(0.013417125039268285, 0.0009404289356074169)","(np.float64(0.6200980392156863), np.float64(0.013081808683677091))","(0.25, 0.35)"
5,LS (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.5151515151515151, 0.006961006841271548)","(0.26987055152639566, 0.015648433016315796)","(0.007086274970788509, 0.0006192629358727502)",,"(0.25, 0.35)"
6,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.49910873440285214, 0.01321960514633808)","(0.35029328535822035, 0.08809201295401253)","(0.0018547499930718914, 3.698932301392841e-05)",,"(0.25, 0.35)"
7,LS (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.49999999999999994, 0.009390065733380358)","(0.43747774591930433, 0.007184170449243531)","(0.01279648749914486, 0.0010855968654240001)","(np.float64(0.6245543672014261), np.float64(0.019868177372068536))","(0.25, 0.35)"
8,LS (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.5122549019607843, 0.006725217590368342)","(0.19197892655684856, 0.025985158208010135)","(0.006801337513024919, 0.001124427672001795)",,"(0.25, 0.35)"
9,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.5080213903743316, 0.01746516750647543)","(0.3567118307378047, 0.05589343586204724)","(0.0018695500039029866, 9.173491040472168e-05)",,"(0.25, 0.35)"
10,LS (Enemy-Averse) Heuristic starting with the output of leiden,Karate Club,"(0.5082442067736186, 0.01142898271232814)","(0.4099588182380389, 0.006115193178796929)","(0.013684337493032217, 0.0010204781026633381)","(np.float64(0.6185383244206774), np.float64(0.01377863175912683))","(0.25, 0.35)"
11,Louvain (Mod),Cora,"(0.7836767770411959, 0.0011186068016973622)","(0.8147413056312284, 0.0009803799546176156)","(1.7126331874605967, 0.17183125697991286)",,"(0.25, 0.35)"
12,Leiden (Mod),Cora,"(0.8002538961573992, 0.0016189218429585937)","(0.8007084228850138, 0.002503699809439634)","(2.87917223747354, 0.06325156281569307)",,"(0.25, 0.35)"
13,LS (Balanced) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.6088670832062396, 0.0033272797692430007)","(0.3634205666819493, 0.0053214045465713716)","(18.17630174999067, 0.35410994909264243)",,"(0.25, 0.35)"
14,LS (Balanced) Heuristic starting with predicted number of clusters,Cora,"(0.6187995153437202, 0.0022478339405106757)","(0.3704887517031452, 0.004491519969664618)","(19.772612112472416, 0.36014649663999104)",,"(0.25, 0.35)"
15,LS (Balanced) Heuristic starting with the output of leiden,Cora,"(0.6486009724228284, 0.0010906213579464125)","(0.3809009184994495, 0.0021255563148795615)","(123.19505717500579, 2.6979744972235773)","(np.float64(0.7181515631283629), np.float64(0.00101200445737913))","(0.25, 0.35)"
16,LS (Friend-Oriented) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.5837846065155222, 0.0012411745010872475)","(0.2966987803800255, 0.006899128965455978)","(17.443000212486368, 0.21894915833048742)",,"(0.25, 0.35)"
17,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Cora,"(0.5941953106967602, 0.0018431065452890298)","(0.3067629434908299, 0.010730997379803072)","(19.012407799978973, 0.301745497328578)",,"(0.25, 0.35)"
