,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
18,LS (Friend-Oriented) Heuristic starting with the output of leiden,Cora,"(0.6461084943625012, 0.0012823388555663717)","(0.39037568010937546, 0.0029240658712063996)","(118.14120731249568, 4.853524035880219)","(np.float64(0.7129223213082336), np.float64(0.0019393982601473348))","(0.25, 0.35)"
19,LS (Enemy-Averse) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.6251912201475577, 0.0022246236601074798)","(0.37556642725830713, 0.006960840651188852)","(18.321543124999152, 0.2975498943876324)",,"(0.25, 0.35)"
20,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Cora,"(0.6369997719136175, 0.0025535108740530068)","(0.3813212731004214, 0.004587093153495039)","(19.898014237478492, 0.5681999763194074)",,"(0.25, 0.35)"
21,LS (Enemy-Averse) Heuristic starting with the output of leiden,Cora,"(0.7470868853604011, 0.010632619656762082)","(0.5043907905738405, 0.03146570636611722)","(123.30042085000605, 10.315610013698459)","(np.float64(0.860661558277435), np.float64(0.016792598084532786))","(0.25, 0.35)"
22,Louvain (Mod),Jazz,"(nan, 0.0)","(0.44028738400045536, 0.0026477636396997836)","(0.18108057501376607, 0.046109876245167686)",,"(0.25, 0.35)"
23,Leiden (Mod),Jazz,"(nan, 0.0)","(0.44198254646764995, 0.0017528114478032044)","(0.31465751252835616, 0.02022550945330946)",,"(0.25, 0.35)"
24,LS (Balanced) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.25968588383366814, 0.03479879404205542)","(0.9472078625112772, 0.032199857198690306)",,"(0.25, 0.35)"
25,LS (Balanced) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.25968588383366814, 0.03479879404205542)","(0.9575468999973964, 0.0318725448149678)",,"(0.25, 0.35)"
26,LS (Balanced) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.4342247568817662, 0.0006955731050640953)","(0.3981441625073785, 0.01696618868561782)","(np.float64(0.5765843716351332), np.float64(0.013819800389879629))","(0.25, 0.35)"
27,LS (Friend-Oriented) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.2582025553682857, 0.041008722408717925)","(0.970515199995134, 0.047736649528669434)",,"(0.25, 0.35)"
28,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.2582025553682857, 0.041008722408717925)","(0.9823900875053369, 0.0615136202282089)",,"(0.25, 0.35)"
29,LS (Friend-Oriented) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.44245988163431194, 1.774874587112601e-05)","(0.4187574624957051, 0.02015318227496842)","(np.float64(0.5721683843511255), np.float64(0.008771741569455592))","(0.25, 0.35)"
30,LS (Enemy-Averse) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.30542147077553633, 0.04357639046474503)","(0.970683924970217, 0.042553844712070174)",,"(0.25, 0.35)"
31,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.30542147077553633, 0.04357639046474503)","(0.9748476000095252, 0.04600969733319335)",,"(0.25, 0.35)"
32,LS (Enemy-Averse) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.4337078529889483, 0.0009658426795329314)","(0.4140783625189215, 0.0334634848421693)","(np.float64(0.5743283084653643), np.float64(0.01611284834450726))","(0.25, 0.35)"
33,Louvain (Mod),Random-25,"(0.8438032128514056, 0.009686652913021298)","(0.23845421542726, 0.005355502407338372)","(0.2974083874723874, 0.06504384005472841)",,"(0.25, 0.35)"
34,Leiden (Mod),Random-25,"(0.8542289156626506, 0.009184603739721789)","(0.23511618862985353, 0.005023428070292601)","(0.34685103748051915, 0.017207754425738714)",,"(0.25, 0.35)"
35,LS (Balanced) Heuristic starting with everyone alone,Random-25,"(0.9573534136546185, 0.00047435482478667154)","(0.1053710900026151, 0.0041601775578637016)","(1.7348859875055496, 0.031726332232973956)",,"(0.25, 0.35)"
36,LS (Balanced) Heuristic starting with predicted number of clusters,Random-25,"(0.9303132530120481, 0.00034077435237907087)","(0.17863915177769585, 0.003640601556216653)","(0.30837227501615416, 0.010297233728523314)",,"(0.25, 0.35)"
37,LS (Balanced) Heuristic starting with the output of leiden,Random-25,"(0.8637068273092369, 0.008904590795204743)","(0.24057123214476314, 0.0035096184884164713)","(0.4547062250057934, 0.016617456674355224)","(np.float64(0.7990843373493977), np.float64(0.007458885548757117))","(0.25, 0.35)"
38,LS (Friend-Oriented) Heuristic starting with everyone alone,Random-25,"(0.9554257028112451, 0.0003673546464922153)","(0.12548931902366914, 0.003567522483589322)","(1.845641349995276, 0.049782386529667724)",,"(0.25, 0.35)"
39,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Random-25,"(0.9300160642570281, 0.0002912685038468992)","(0.18803903894752894, 0.0055674075974578435)","(0.3475102125230478, 0.015729116626211296)",,"(0.25, 0.35)"
40,LS (Friend-Oriented) Heuristic starting with the output of leiden,Random-25,"(0.8524859437751002, 0.008300402344815652)","(0.24358264317967596, 0.005547291860619214)","(0.4592565874918364, 0.022100674337430983)","(np.float64(0.7912369477911646), np.float64(0.01028108370975845))","(0.25, 0.35)"
41,LS (Enemy-Averse) Heuristic starting with everyone alone,Random-25,"(0.9581164658634538, 0.0003030731878670932)","(0.09751201662237619, 0.002429726575689372)","(1.705423012477695, 0.0320004505973802)",,"(0.25, 0.35)"
42,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Random-25,"(0.9302289156626505, 0.0005814145980205178)","(0.18013897232645873, 0.006363730186604238)","(0.31509498749801423, 0.012192829085502012)",,"(0.25, 0.35)"
43,LS (Enemy-Averse) Heuristic starting with the output of leiden,Random-25,"(0.8628795180722891, 0.011845224089075894)","(0.2402359703152505, 0.0056828780918081225)","(0.4584500000200933, 0.021704336654045506)","(np.float64(0.7989799196787148), np.float64(0.013926985894799118))","(0.25, 0.35)"
