Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Modularity,Modularity SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
Louvain,Karate Club,-,-,,,10,0.43885452001718495,0.03485517961550936,0.4395344914825435,0.008083611030824936,0.006930490001104772,0.0012823159103784536,,,,,,,,
Leiden,Karate Club,-,-,,,10,0.4268858077274732,0.03795249673313366,0.44092314611795136,0.00606772596574057,0.014744850003626197,0.003025065223218994,,,,,,,,
Louvain,Cora,-,-,,,10,0.24188012622896266,0.015631764831962516,0.81479255120492,0.0007546989590943812,2.2653846199973486,0.14969542278188264,,,,,,,,
Leiden,Cora,-,-,,,10,0.14364997618019776,0.013803835277646911,0.798566500596397,0.0029970477357472124,4.310794519999763,0.2779921964955366,,,,,,,,
Louvain,Jazz,-,-,,,10,,,0.44164623058339336,0.0031657755474932218,0.18291593000176362,0.021622741575042806,,,,,,,,
Leiden,Jazz,-,-,,,10,,,0.44104946104069864,0.0045999462238818425,0.4006805399956647,0.041568495519885194,,,,,,,,
Louvain,Random-25,-,-,,,10,0.905060804022104,0.015098539297176364,0.8531175634186091,0.00024360950440662258,0.06354490999365225,0.004069665024479844,,,,,,,,
Leiden,Random-25,-,-,,,10,0.9070320373785282,0.004610980489875251,0.8533603602600227,8.428251594772177e-05,0.10745615999330767,0.005472295202128603,,,,,,,,
LocStab,Karate Club,B,Ld,0.2,0.2,10,0.13209890231733007,0.0021953653398381237,0.29461872903431346,0.005011929819160906,0.04941761998925358,0.14534138739512678,14.2,0.4,1.0,0.0,16.2,0.6,0.37308358655264146,0.0189399914132218
LocStab,Karate Club,B,S,0.2,0.2,10,0.09600532908417185,0.00873365382629078,0.2504694439759375,0.01429149487191502,0.0009719200024846941,0.00020766994659998422,17.6,1.4966629547095767,1.0,0.0,18.8,0.4,0.0,0.0
LocStab,Karate Club,B,P,0.2,0.2,10,0.11121411686765467,0.011134437250678832,0.26754558572740395,0.010862012360372967,0.0009467099909670651,0.00015906784328191363,27.8,1.8330302779823362,1.0,0.0,18.4,0.8,0.010145040061413313,0.022420747317094765
LocStab,Karate Club,AF,Ld,0.2,0.2,10,0.4268858077274732,0.03795249673313366,0.44092314611795136,0.00606772596574057,0.001024240005062893,0.0004553482978312893,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0
LocStab,Karate Club,AF,S,0.2,0.2,10,0.10779036076566004,0.013190217462853466,0.27356683720320085,0.009486342294575659,0.000991640001302585,0.00021837293992101476,19.1,0.8306623862918076,1.0,0.0,17.6,0.4898979485566356,0.0,0.0
LocStab,Karate Club,AF,P,0.2,0.2,10,0.3724605059853838,0.13992920664679243,0.3080142800922022,0.03986787117234018,0.0008194399997591972,0.000132909332629953,15.2,2.993325909419153,1.0,0.0,8.8,1.469693845669907,0.12675683859368198,0.08667893233128006
LocStab,Karate Club,AE,Ld,0.2,0.2,10,0.10143494080869164,0.003387485266232766,0.2631294391034651,0.00017709563164108324,0.0008891600009519607,0.00013049482730822655,17.5,0.6708203932499369,1.0,0.0,18.1,0.3,0.2956452562026428,0.012360039720669196
LocStab,Karate Club,AE,S,0.2,0.2,10,0.07264851576747824,0.004154293992057779,0.20359813346826333,0.020573019845982775,0.0009336299903225153,0.00023329320192238303,16.2,1.6613247725836147,1.0,0.0,20.2,0.4,0.0,0.0
LocStab,Karate Club,AE,P,0.2,0.2,10,0.08704670484412234,0.010122314888817931,0.23968160266861566,0.020803360239455,0.0009688700025435537,0.00015071584147571048,29.0,1.7888543819998317,1.0,0.0,19.5,0.806225774829855,0.010084892836152739,0.02408705633439637
LocStab,Cora,B,Ld,0.2,0.2,10,0.1639142760236707,0.0014708166706217736,0.6375064220187439,0.0029034387433087812,0.9994420600123703,0.07115591741074648,1393.4,30.020659553047796,1.0,0.0,127.4,2.6907248094147422,0.3770793621532908,0.02785154470068982
LocStab,Cora,B,P,0.2,0.2,10,0.1748390146526366,0.0009780932378861767,0.6516943109026709,0.0028726112881841057,1.32115278999554,0.07527346542026361,3538.4,49.57055577658979,1.0,0.0,50.0,0.0,0.00012519098240713493,0.00038056241931827653
LocStab,Cora,AF,Ld,0.2,0.2,10,0.20090708898143655,0.004694857176513939,0.7015188594839326,0.005413957732733122,0.5442553499946371,0.050214475061721164,648.8,56.06032465121836,1.0,0.0,127.4,2.6907248094147422,0.5598064502682683,0.037807075398736956
LocStab,Cora,AF,P,0.2,0.2,10,0.18007715457883308,0.004361267719953491,0.6241740275182606,0.011940799851753389,1.2519425899954513,0.09563212118205745,3042.2,56.27930347827698,1.0,0.0,50.0,0.0,0.0019140274565773447,0.0006740073680847185
LocStab,Cora,AE,Ld,0.2,0.2,10,0.12156764169040124,0.008968293921804394,0.6418049763932476,0.006727198523744104,0.8488131800026167,0.06318952482027133,1183.3,33.27777035800325,1.0,0.0,127.4,2.6907248094147422,0.4875999998633665,0.03243972432920953
LocStab,Cora,AE,P,0.2,0.2,10,0.12670039014641937,0.0027138579389054123,0.6310837194322318,0.004092095198395099,1.2725809600087814,0.10023248354025097,3396.2,30.228463407854523,1.0,0.0,50.0,0.0,0.002649935007178747,0.0005024742054834134
LocStab,Jazz,B,Ld,0.2,0.2,10,,,0.3204723268964659,0.0019356302902104813,0.01002907999791205,0.000908078892045694,109.2,9.184770002564026,1.0,0.0,36.6,0.66332495807108,0.31236524210059624,0.03624760578983372
LocStab,Jazz,B,S,0.2,0.2,10,,,0.32011074854187577,0.00635344259690903,0.018391469999914988,0.002094441160813411,192.9,9.924212815130478,1.0,0.0,38.8,1.4696938456699067,0.0,0.0
LocStab,Jazz,AF,Ld,0.2,0.2,10,,,0.44335481482900185,0.0010977960471532527,0.004422169987810776,0.0005470310348436122,3.8,3.1559467676119,1.0,0.0,3.9,0.5385164807134504,0.945430395304642,0.04492557734555192
LocStab,Jazz,AF,S,0.2,0.2,10,,,0.3239952935161554,0.009006797504422017,0.01759691000333987,0.0017705402477932106,179.9,6.363175307973213,1.0,0.0,35.4,1.1135528725660044,0.0,0.0
LocStab,Jazz,AE,Ld,0.2,0.2,10,,,0.31165728588597497,0.0011707007984810534,0.010381719999713823,0.0011350914723716732,117.3,9.39201788754685,1.0,0.0,38.7,0.45825756949558394,0.29323485179044007,0.029150047613929527
LocStab,Jazz,AE,S,0.2,0.2,10,,,0.22555813184538964,0.028301312688727997,0.01662209999631159,0.0009374727840734025,174.5,6.576473218982953,1.0,0.0,46.2,2.315167380558045,0.0,0.0
LocStab,Random-25,B,Ld,0.2,0.2,10,0.938046558482351,0.001973345001746275,0.8348201855502466,0.001836928612687825,0.007741279993206262,0.0004894261491563001,33.8,1.6,1.0,0.0,32.4,0.4898979485566356,0.8605277160092664,0.00534151600428678
LocStab,Random-25,B,S,0.2,0.2,10,0.9097557741450911,0.010463047951352392,0.8187642234770438,0.004972607190160802,0.03013212000951171,0.0016796203894406578,237.1,4.657252408878008,1.0,0.0,36.6,0.66332495807108,0.0,0.0
LocStab,Random-25,B,P,0.2,0.2,10,0.9127352324596139,0.010457359521778972,0.8217364429148984,0.005125472474368719,0.026652559998910873,0.0017415695448249147,242.2,5.035871324805669,1.0,0.0,35.4,0.9165151389911679,-0.00039734944871967597,0.0029761233024224593
LocStab,Random-25,AF,Ld,0.2,0.2,10,0.8799900200809467,0.003567324136196115,0.8454844984982979,0.002523202793707397,0.005490379995899275,0.00027891185733106596,5.9,1.0440306508910548,1.0,0.0,23.0,0.0,0.945923316466177,0.011162817232700543
LocStab,Random-25,AF,S,0.2,0.2,10,0.9089767264104666,0.013636039212479922,0.8207214481680719,0.006527224848193831,0.03011516000260599,0.0008432764526746116,236.2,5.075431016179808,1.0,0.0,33.3,1.2688577540449522,0.0,0.0
LocStab,Random-25,AF,P,0.2,0.2,10,0.9046609293336646,0.020083195656700317,0.819521014549248,0.009238088060579448,0.0264249500061851,0.0011521770277048468,242.3,3.8223029707232783,1.0,0.0,33.0,1.0954451150103321,0.0004440283348324754,0.004122761171949286
LocStab,Random-25,AE,Ld,0.2,0.2,10,0.9251292582623837,0.0022004145794647053,0.8228019275247714,0.0008873189748879524,0.008021379995625466,0.00048133401949736253,35.6,1.1135528725660042,1.0,0.0,37.0,0.0,0.8511485608090327,0.004616523012789977
LocStab,Random-25,AE,S,0.2,0.2,10,0.721983472696589,0.0253445574244377,0.6551250923481869,0.026928179842391823,0.026996510004391894,0.001213286073689641,209.2,5.075431016179809,1.0,0.0,54.1,1.445683229480096,0.0,0.0
LocStab,Random-25,AE,P,0.2,0.2,10,0.8793272392684868,0.018893655185899718,0.7958299456862724,0.01343820063533372,0.026444830000400543,0.0010865737336261344,238.5,4.104875150354759,1.0,0.0,40.3,1.8466185312619388,0.00020241319242330548,0.003132596337167613
