,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
17,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Cora,"(0.7279161362385064, 0.001534942640202263)","(0.6329905739375024, 0.010444653087965002)","(25.967173187469598, 1.5196103856733783)",,"(0.2, 0.2)"
18,LS (Friend-Oriented) Heuristic starting with the output of leiden,Cora,"(0.7938124679765082, 0.0006446986806720059)","(0.7073595500193032, 0.006540038067642066)","(102.33550798747456, 4.728549824143766)","(np.float64(0.9292980300539277), np.float64(0.004079630374587332))","(0.2, 0.2)"
19,LS (Enemy-Averse) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.7131793618383108, 0.00039196816121462246)","(0.624191311148639, 0.010701756989421106)","(24.007605587510625, 1.2514790207129083)",,"(0.2, 0.2)"
20,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Cora,"(0.7287514071238252, 0.000599326087851999)","(0.6390371567630211, 0.019503364529710895)","(26.359104587507318, 1.6164316216727783)",,"(0.2, 0.2)"
21,LS (Enemy-Averse) Heuristic starting with the output of leiden,Cora,"(0.8060826832234826, 0.0008620831748695056)","(0.6385261122369283, 0.005937335339803934)","(134.87786531249003, 5.462794912858735)","(np.float64(0.9472565587112355), np.float64(0.004763498433986025))","(0.2, 0.2)"
22,Louvain (Mod),Jazz,"(nan, 0.0)","(0.44283960008852746, 0.0023984996289286133)","(0.174308462504996, 0.02688981549721991)",,"(0.2, 0.2)"
23,Leiden (Mod),Jazz,"(nan, 0.0)","(0.4409283641131472, 0.002690958467390178)","(0.3502989249973325, 0.04014553378429582)",,"(0.2, 0.2)"
24,LS (Balanced) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.32172207352361415, 0.0030428968740492386)","(1.1128495875018416, 0.04086106577492912)",,"(0.2, 0.2)"
25,LS (Balanced) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.32172207352361415, 0.0030428968740492386)","(1.0934747499995865, 0.055166488961226785)",,"(0.2, 0.2)"
26,LS (Balanced) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.4321616135740814, 0.005710731826770363)","(0.456584412502707, 0.03365185719655146)","(np.float64(0.592537045582731), np.float64(0.017102599661242737))","(0.2, 0.2)"
27,LS (Friend-Oriented) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.32273446764568325, 0.00388398499428254)","(1.09124431249802, 0.049573608442267506)",,"(0.2, 0.2)"
28,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.32273446764568325, 0.00388398499428254)","(1.101590012476663, 0.08974898723591244)",,"(0.2, 0.2)"
29,LS (Friend-Oriented) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.4422153203058456, 0.0013692379003626676)","(0.4128499125217786, 0.03428602597594345)","(np.float64(0.5851535661180332), np.float64(0.016721426496009814))","(0.2, 0.2)"
30,LS (Enemy-Averse) Heuristic starting with everyone alone,Jazz,"(nan, 0.0)","(0.2396188038699943, 0.005633566507491864)","(1.1252604125184007, 0.09243861533159867)",,"(0.2, 0.2)"
31,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Jazz,"(nan, 0.0)","(0.2396188038699943, 0.005633566507491864)","(1.1211600500246277, 0.08010343476268253)",,"(0.2, 0.2)"
32,LS (Enemy-Averse) Heuristic starting with the output of leiden,Jazz,"(nan, 0.0)","(0.42987899684035413, 0.0023511858962117402)","(0.42993123750784434, 0.03819018772237899)","(np.float64(0.6025098702763678), np.float64(0.01460480763772172))","(0.2, 0.2)"
33,Louvain (Mod),Random-25,"(0.846417670682731, 0.006798555088006333)","(0.2331222322508538, 0.006771794806703993)","(0.32295238751976285, 0.07098336681309401)",,"(0.2, 0.2)"
34,Leiden (Mod),Random-25,"(0.849012048192771, 0.011005188575295458)","(0.2356285839862424, 0.004227343780544284)","(0.38620661254390143, 0.02478836792505778)",,"(0.2, 0.2)"
35,LS (Balanced) Heuristic starting with everyone alone,Random-25,"(0.9572369477911646, 0.00048751778009618755)","(0.10631423685177062, 0.00407802020608794)","(1.8104986250400543, 0.08547578084883842)",,"(0.2, 0.2)"
36,LS (Balanced) Heuristic starting with predicted number of clusters,Random-25,"(0.9302168674698796, 0.0003176501194102002)","(0.1811887540021818, 0.0033501809929893443)","(0.32151077495655045, 0.016059351914865683)",,"(0.2, 0.2)"
37,LS (Balanced) Heuristic starting with the output of leiden,Random-25,"(0.8623453815261044, 0.004439813073767611)","(0.2400515007315097, 0.0038723278852524855)","(0.4951575249724556, 0.02745109292856113)","(np.float64(0.7945863453815261), np.float64(0.00859658418542518))","(0.2, 0.2)"
38,LS (Friend-Oriented) Heuristic starting with everyone alone,Random-25,"(0.9554618473895584, 0.0005879935025924827)","(0.12715303191974767, 0.004491909934658837)","(1.9375250125012826, 0.087827952465906)",,"(0.2, 0.2)"
39,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Random-25,"(0.9299558232931726, 0.00037032816434518634)","(0.1837763465211451, 0.004147521412943796)","(0.35811918751278426, 0.03029772534612804)",,"(0.2, 0.2)"
40,LS (Friend-Oriented) Heuristic starting with the output of leiden,Random-25,"(0.8613694779116466, 0.014856497592548793)","(0.23831759144515807, 0.0037019227222602454)","(0.5048769500135677, 0.0311280165316071)","(np.float64(0.7930401606425702), np.float64(0.015687081656403246))","(0.2, 0.2)"
41,LS (Enemy-Averse) Heuristic starting with everyone alone,Random-25,"(0.9581967871485944, 0.00025422035691724927)","(0.0959420198373426, 0.0036947436886691077)","(1.7834138750040438, 0.1119670020075746)",,"(0.2, 0.2)"
42,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Random-25,"(0.9302329317269075, 0.0003009637589589687)","(0.17634403414120248, 0.004554803358916467)","(0.34957776249211747, 0.04320632359403388)",,"(0.2, 0.2)"
43,LS (Enemy-Averse) Heuristic starting with the output of leiden,Random-25,"(0.859706827309237, 0.013096113368165707)","(0.24080344656013103, 0.0034804866423651395)","(0.4980625624884851, 0.03975786543913351)","(np.float64(0.7910803212851406), np.float64(0.01580170126928815))","(0.2, 0.2)"
