,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5013368983957219, 0.010152215463364098)","(0.438508461235734, 0.008175674696509991)","(0.0060976749955443665, 0.0009450225426609924)",,"(0.2, 0.2)"
1,Leiden (Mod),Karate Club,"(0.5080213903743316, 0.019849427318467117)","(0.44313262495080674, 0.002286294773440022)","(0.01142888750473503, 0.0011116962056442606)",,"(0.2, 0.2)"
2,LS (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.518270944741533, 0.005619215781157958)","(0.2529996158242911, 0.020897924082238693)","(0.006955512537388131, 0.00027968863511964367)",,"(0.2, 0.2)"
3,LS (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.5051247771836007, 0.028824382357407707)","(0.33781343115758694, 0.09213798654620241)","(0.0018754499615170062, 0.00012960612043383025)",,"(0.2, 0.2)"
4,LS (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.5200534759358288, 0.01927587232966325)","(0.4291336369258447, 0.0004216562658121078)","(0.013553225013311021, 0.001986834679943549)","(np.float64(0.6198752228163993), np.float64(0.012596518738950591))","(0.2, 0.2)"
5,LS (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.5138146167557932, 0.008901508179785285)","(0.2702793238507524, 0.019376416973919126)","(0.007097449983120896, 0.0003730819827211201)",,"(0.2, 0.2)"
6,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.4973262032085562, 0.013807427259206476)","(0.35135796742939596, 0.12825344061092162)","(0.0019045874942094088, 8.315460727741361e-05)",,"(0.2, 0.2)"
7,LS (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.5066844919786097, 0.015118712525568087)","(0.44239472648563555, 0.00365985736943245)","(0.012912862483062781, 0.0011249872982875045)","(np.float64(0.6225490196078431), np.float64(0.016184509623293115))","(0.2, 0.2)"
8,LS (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.5129233511586453, 0.007757083416011242)","(0.1533177320514982, 0.03261580018773385)","(0.013356525014387444, 0.017280798974234138)",,"(0.2, 0.2)"
9,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.5035650623885919, 0.011024346592560614)","(0.31193544911077375, 0.097075358846726)","(0.0020452250028029084, 0.000360357204887791)",,"(0.2, 0.2)"
10,LS (Enemy-Averse) Heuristic starting with the output of leiden,Karate Club,"(0.5053475935828877, 0.014343562334608819)","(0.4163879050242687, 0.0024188926427724214)","(0.013721612500376068, 0.0011409786905665206)","(np.float64(0.6189839572192513), np.float64(0.013509363985048246))","(0.2, 0.2)"
11,Louvain (Mod),Cora,"(0.7868778643802734, 0.0016964699602197647)","(0.8149529580844969, 0.0023267744509738687)","(1.8628351250081323, 0.14883720741289397)",,"(0.2, 0.2)"
12,Leiden (Mod),Cora,"(0.8005924789333853, 0.002736506695799384)","(0.7969951615706659, 0.005007576691829458)","(3.0440237125148997, 0.1743974780150702)",,"(0.2, 0.2)"
13,LS (Balanced) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.7129255270677968, 0.0004308078938496514)","(0.6314420897959758, 0.014124342505895225)","(24.279557425019448, 0.8985473466668511)",,"(0.2, 0.2)"
14,LS (Balanced) Heuristic starting with predicted number of clusters,Cora,"(0.7287669584680889, 0.0005546770758467376)","(0.6531694704157088, 0.013150559340521355)","(25.75807615001395, 0.8564650335850839)",,"(0.2, 0.2)"
15,LS (Balanced) Heuristic starting with the output of leiden,Cora,"(0.8005266585508657, 0.00021149078490643037)","(0.637179633161653, 0.0041474603882928)","(142.05805993750982, 5.425072764769642)","(np.float64(0.939061852879918), np.float64(0.003842404588113157))","(0.2, 0.2)"
16,LS (Friend-Oriented) Heuristic starting with everyone alone *6 starting clusters,Cora,"(0.712490464570491, 0.0009295281216726401)","(0.6189331576617447, 0.010261648314267511)","(23.615116812492488, 1.0854009635519184)",,"(0.2, 0.2)"
