,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5076648841354723, 0.01438890272414301)","(0.4437398099735762, 0.0018481838979987624)","(0.009816390000196407, 0.0011157857846076534)",,"(0.25, 0.35)"
1,Leiden (Mod),Karate Club,"(0.5087344028520498, 0.01415289357666969)","(0.44252356590018926, 0.0023802366986087056)","(0.019840919999478502, 0.003084049147875194)",,"(0.25, 0.35)"
2,LS (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.5566844919786096, 0.00789361491104617)","(0.22212664680197144, 0.040878571522086744)","(0.012651119999645744, 0.002542023962885884)",,"(0.25, 0.35)"
3,LS (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.8203208556149733, 0.13501376545933258)","(0.3573752365960158, 0.09787799378052595)","(0.003119919999517151, 0.0006317845326974114)",,"(0.25, 0.35)"
4,LS (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.6919786096256684, 0.012774668710993873)","(0.42896497441951986, 0.00038645435106728727)","(0.024133239998991484, 0.005164765691608846)","(0.6185383244206772, 0.014525168475909733)","(0.25, 0.35)"
5,LS (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.5684491978609626, 0.005132328003168613)","(0.2707108187627668, 0.009050196218993885)","(0.011951440000120783, 0.00187936606964864)",,"(0.25, 0.35)"
6,LS (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.7475935828877005, 0.17089110848443784)","(0.32729896366260003, 0.0914075274513179)","(0.0030074500005866866, 0.0003490665124356812)",,"(0.25, 0.35)"
7,LS (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.7176470588235294, 0.01864769601514727)","(0.4415865519761624, 0.0042790667303284485)","(0.02276724999974249, 0.002680685872916392)","(0.6114081996434938, 0.01664544389294653)","(0.25, 0.35)"
8,LS (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.5474153297682709, 0.0038603222509282884)","(0.19400123685837972, 0.032860616030794855)","(0.011205050000717165, 0.001317734140724935)",,"(0.25, 0.35)"
9,LS (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.8859180035650625, 1.1102230246251565e-16)","(0.3998332115215232, 0.0)","(0.002819459999955143, 0.00012558774896088198)",,"(0.25, 0.35)"
