Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Modularity,Modularity SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
LocPop,Cora,B,P,0.25,0.35,10,0.03940024256042575,0.00023895729980805475,0.38433434501367764,0.0019886599013493496,0.922968160000164,0.055619103996759844,3162.6,19.20520762709948,1.0,0.0,50.0,0.0,-9.321232604362381e-07,0.00032745514907190336
LocPop,Cora,AF,Ld,0.25,0.35,10,0.037553683275467244,0.0002793941259717456,0.3792736632185679,0.0018336812806181066,0.9096903300145641,0.05650472796856307,1607.6,52.89650271993414,1.0,0.0,127.4,2.6907248094147422,0.07655383921710332,0.008744787140747232
LocPop,Cora,AF,P,0.25,0.35,10,0.03940326220846864,0.00016572672245485442,0.38315163280095793,0.0023356052088709,0.9129997500102036,0.05087594622877085,3162.2,22.5512749085279,1.0,0.0,50.0,0.0,7.902073254574668e-06,0.00032942685830945033
LocPop,Cora,AE,Ld,0.25,0.35,10,0.03755427357015839,0.0007310651567731048,0.38146039290836825,0.0022981354113650646,0.9169025999843143,0.05007774656467191,1623.0,48.66415518633813,1.0,0.0,127.4,2.6907248094147422,0.07680005832961638,0.008797628327937025
LocPop,Cora,AE,P,0.25,0.35,10,0.03928392482246225,0.00019532441740494912,0.38337827729365154,0.001654502047656018,0.8981591900228523,0.015684836345253705,3174.4,23.963305281200256,1.0,0.0,50.0,0.0,-1.4359160868363148e-05,0.0003284155298899235
LocPop,Jazz,B,Ld,0.25,0.35,10,,,0.42874215741197397,0.0028565148595998072,0.005952580005396157,0.0009706415475818606,41.4,9.329523031752482,1.0,0.0,13.8,0.6,0.6817037481473074,0.05488747872915349
LocPop,Jazz,B,S,0.25,0.35,10,,,0.27296634038095574,0.0011924348728708251,0.018888940021861346,0.0014361375365997912,196.4,20.11566553708825,1.0,0.0,19.0,0.8944271909999159,0.0,0.0
LocPop,Jazz,AF,Ld,0.25,0.35,10,,,0.4304033655894929,0.0030768958832127495,0.005360960005782544,0.0004174482018402319,39.8,9.867117106835208,1.0,0.0,13.9,0.5385164807134504,0.695817915821237,0.056872296354052845
LocPop,Jazz,AF,S,0.25,0.35,10,,,0.2743611080520163,0.0012693016707745147,0.019115179986692966,0.0015465121138271232,195.1,18.742731924668828,1.0,0.0,18.9,0.7000000000000001,0.0,0.0
LocPop,Jazz,AE,Ld,0.25,0.35,10,,,0.42859212211268005,0.0031379247473524753,0.005682809976860881,0.001270481712579462,42.7,8.062877898120496,1.0,0.0,14.1,0.7000000000000001,0.6778588846981798,0.05234229537934795
LocPop,Jazz,AE,S,0.25,0.35,10,,,0.25379601078078207,0.03741251184844334,0.01872792000649497,0.001628633363570936,191.2,14.756693396557374,1.0,0.0,20.7,0.7810249675906655,0.0,0.0
LocPop,Random-25,B,Ld,0.25,0.35,10,0.577711046567974,0.025023570573956527,0.7146259109522165,0.015985641532264647,0.009243289998266846,0.0008279594328346344,62.8,8.692525524840292,1.0,0.0,21.9,0.5385164807134504,0.6282203460957053,0.02961323126099259
LocPop,Random-25,B,S,0.25,0.35,10,0.47456164980672755,0.023972719479389157,0.7043443557159351,0.028143987259966446,0.03344207998597994,0.0011969682171841924,275.3,10.798611021793498,1.0,0.0,20.5,1.4317821063276353,0.0,0.0
LocPop,Random-25,B,P,0.25,0.35,10,0.4809237680836918,0.021519335946082165,0.6983516544711372,0.02044417173354476,0.02399787000613287,0.0013477696548688015,249.3,8.843641783790206,1.0,0.0,20.6,1.4282856857085702,0.0005555833055932212,0.004933777273679878
LocPop,Random-25,AF,Ld,0.25,0.35,10,0.539742787445831,0.02716109439826252,0.7196082580626,0.018551670085551104,0.009752289997413755,0.0007739983255254477,78.7,7.7852424496607675,1.0,0.0,20.8,1.469693845669907,0.5961378138444895,0.026447555648727604
LocPop,Random-25,AF,S,0.25,0.35,10,0.4591637484221322,0.01997886623742114,0.6997612868975093,0.012811321863399144,0.033227699995040896,0.0016224981777727067,271.0,9.391485505499118,1.0,0.0,20.0,1.1832159566199232,0.0,0.0
LocPop,Random-25,AF,P,0.25,0.35,10,0.4755129058191693,0.024698845957752177,0.704693329769343,0.03126328296704877,0.023941709962673485,0.0019114751252613956,250.5,11.236102527122116,1.0,0.0,19.6,1.8,0.00019779777038525878,0.005071506470714556
LocPop,Random-25,AE,Ld,0.25,0.35,10,0.5936772102129811,0.028038647857625356,0.717622818448105,0.00886975802901815,0.008612750004976988,0.0011773670132911192,58.0,10.059821071967434,1.0,0.0,21.9,0.5385164807134504,0.6502875775480103,0.03497463991982579
LocPop,Random-25,AE,S,0.25,0.35,10,0.48704893772761915,0.02702179002654689,0.668199368134214,0.02128203259320443,0.03242175002815202,0.0018494663666152771,264.4,7.459222479588606,1.0,0.0,22.7,1.1874342087037917,0.0,0.0
LocPop,Random-25,AE,P,0.25,0.35,10,0.4902507667450551,0.027076137798498122,0.684206139715846,0.022044097852620077,0.024082769977394492,0.0012165169118896553,250.7,9.220086767487604,1.0,0.0,22.3,1.5524174696260022,-0.00028796976698426533,0.006500355839661017
