,Method,Dataset,Rand Index,Modularity,Time,Rand Score with initial clustering,Threshold
0,Louvain (Mod),Karate Club,"(0.5080213903743316, 0.01618082811823204)","(0.4381505219167557, 0.009618981734849048)","(0.010002030000032391, 0.0026093856172072554)",,"(0.2, 0.2)"
1,Leiden (Mod),Karate Club,"(0.5112299465240641, 0.022289481686047188)","(0.437012049999063, 0.010067752898082708)","(0.023991159999604862, 0.005443392882289257)",,"(0.2, 0.2)"
2,LP (Balanced) Heuristic starting with everyone alone,Karate Club,"(0.5607843137254902, 0.005116827128130946)","(0.24232117089259947, 0.023905317689062493)","(0.013787289999163477, 0.004171313795666579)",,"(0.2, 0.2)"
3,LP (Balanced) Heuristic starting with predicted number of clusters,Karate Club,"(0.8636363636363636, 0.06684491978609626)","(0.39088004347744604, 0.026859504132231392)","(0.0031404800003656417, 0.000767187296932957)",,"(0.2, 0.2)"
4,LP (Balanced) Heuristic starting with the output of leiden,Karate Club,"(0.6955436720142603, 0.015057905227766746)","(0.4277974550701823, 0.003322475382551746)","(0.0265748200006783, 0.0043480800783812605)","(0.6231729055258468, 0.013812028968135846)","(0.2, 0.2)"
5,LP (Friend-Oriented) Heuristic starting with everyone alone,Karate Club,"(0.5668449197860963, 0.005857995267434928)","(0.2717509042184367, 0.005007826713448276)","(0.012992830000621325, 0.0019184510729613599)",,"(0.2, 0.2)"
6,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,Karate Club,"(0.8128342245989304, 0.14672300012528355)","(0.3540816326530612, 0.09635755049721205)","(0.0031793599997399723, 0.000738301228826764)",,"(0.2, 0.2)"
7,LP (Friend-Oriented) Heuristic starting with the output of leiden,Karate Club,"(0.7030303030303029, 0.016649261217590892)","(0.4283896478701673, 0.0015649602508001968)","(0.025471020000441057, 0.004178334116860559)","(0.6135472370766488, 0.016963104817640386)","(0.2, 0.2)"
8,LP (Enemy-Averse) Heuristic starting with everyone alone,Karate Club,"(0.5522281639928698, 0.00939175748471978)","(0.21372631697307024, 0.06385860889961902)","(0.012373260000094888, 0.0018874684659711187)",,"(0.2, 0.2)"
9,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,Karate Club,"(0.8465240641711229, 0.11818181818181817)","(0.3638865463540788, 0.10783999550233314)","(0.0032794799997645898, 0.0006839580571796925)",,"(0.2, 0.2)"
10,LP (Enemy-Averse) Heuristic starting with the output of leiden,Karate Club,"(0.6859180035650626, 0.01690681739947149)","(0.4094863289668485, 0.0056498890744989694)","(0.02427047000019229, 0.005277803146130576)","(0.6256684491978609, 0.006573650236928981)","(0.2, 0.2)"
11,Louvain (Mod),Cora,"(0.7852584169604598, 0.0010382491594224368)","(0.8143101603157005, 0.0009212240970986377)","(3.144883930000469, 0.3776240276639617)",,"(0.2, 0.2)"
12,Leiden (Mod),Cora,"(0.8008396361749369, 0.0026101126384789853)","(0.7998093622479493, 0.004007933908173714)","(5.211056300000382, 0.21371304469147123)",,"(0.2, 0.2)"
