Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
LocStab,Moons,AF,P,0.2,0.2,1,0.2965058449200868,0.15650830342352828,0.03838209994137287,155.0,1.0,4.0,0.0011051930500807566
LocStab,Moons,AF,KM,0.2,0.2,1,0.9866665195128234,0.38878406465918774,0.009499199921265244,45.0,1.0,2.0,0.4882889681228791
LocStab,Moons,AF,D,0.2,0.2,1,0.9933554078979533,0.01750248885427209,0.006284100003540516,0.0,1.0,3.0,1.0
LocStab,Moons,AE,S,0.2,0.2,1,0.14049218782368134,0.16914618967895384,0.09074350004084408,280.0,1.0,21.0,0.0
LocStab,Moons,AE,P,0.2,0.2,1,0.2277007162075719,0.32824034913720557,0.06276989995967597,283.0,1.0,12.0,-0.001208183469239021
LocStab,Moons,AE,KM,0.2,0.2,1,0.22097692796313642,0.37324819404875903,0.06837579992134124,237.0,1.0,12.0,0.17906430713661206
LocStab,Moons,AE,D,0.2,0.2,1,0.22097692796313642,0.37625074997998126,0.06767160003073514,238.0,1.0,12.0,0.22333300142352452
LocStab,Moons,B,S,0.25,0.35,1,0.3351321120410065,0.49466597844514837,0.10100419993977994,328.0,1.0,6.0,0.0
LocStab,Moons,B,P,0.25,0.35,1,0.3351321120410065,0.49466597844514837,0.0890713999979198,376.0,1.0,6.0,0.0016703443336527752
LocStab,Moons,B,KM,0.25,0.35,1,0.2993108640043106,0.4692919099212285,0.03223210002761334,148.0,1.0,5.0,0.32690123637959145
LocStab,Moons,B,D,0.25,0.35,1,0.2993108640043106,0.4692919099212285,0.0456836000084877,158.0,1.0,5.0,0.30323472686274633
LocStab,Moons,AF,S,0.25,0.35,1,0.3693096408665612,0.4766687404588557,0.09779630007687956,316.0,1.0,6.0,0.0
LocStab,Moons,AF,P,0.25,0.35,1,0.8093989933655673,0.09075782232244749,0.03540849999990314,134.0,1.0,4.0,0.00953477834563661
LocStab,Moons,AF,KM,0.25,0.35,1,0.6387921617943852,0.4799888064018961,0.01104519993532449,16.0,1.0,2.0,0.7973669765601505
LocStab,Moons,AF,D,0.25,0.35,1,0.9342244691686101,0.40684644705690465,0.012825199984945357,5.0,1.0,2.0,0.940778426974007
LocStab,Moons,AE,S,0.25,0.35,1,0.23312152264496652,0.2566649412720718,0.09780680004041642,292.0,1.0,10.0,0.0
LocStab,Moons,AE,P,0.25,0.35,1,0.2597963379332632,0.2594449278227552,0.03901049995329231,312.0,1.0,8.0,0.002275899530380852
LocStab,Moons,AE,KM,0.25,0.35,1,0.2919392686755039,0.4653644385865397,0.029600400011986494,143.0,1.0,5.0,0.3381146180288197
LocStab,Moons,AE,D,0.25,0.35,1,0.32826481972302424,0.4898771428782269,0.03613210003823042,158.0,1.0,6.0,0.3320387588589363
