,Method,Dataset,Rand Index,Silhouette Score,Davies Bouldin Score,Time,Rand Score with initial clustering,Threshold
21,LP (Friend-Oriented) Heuristic starting with predicted number of clusters,3 Circles,"(0.7312463768115942, 0.028642297373260905)","(0.36238633797048553, 0.061113791661165026)","(np.float64(1.4790885793948945), np.float64(1.0720929663444432))","(0.36568707001861184, 0.026184874606118635)",,"(0.2, 0.2)"
22,LP (Friend-Oriented) Heuristic starting with the output of k-means,3 Circles,"(0.7610836120401336, 0.00457746691491686)","(0.3804006980870421, 0.012873058900767414)","(np.float64(0.9788809398502304), np.float64(0.026703573153966854))","(0.35261137002380566, 0.026978127224168598)","(np.float64(0.5477413600891863), np.float64(0.005765075760764909))","(0.2, 0.2)"
23,LP (Friend-Oriented) Heuristic starting with the output of dbscan,3 Circles,"(0.7610836120401336, 0.00457746691491686)","(0.3804006980870421, 0.012873058900767414)","(np.float64(0.9788809398502305), np.float64(0.026703573153966875))","(0.3468778599984944, 0.021429262408763385)","(np.float64(0.339406911928651), np.float64(0.011831934570253888))","(0.2, 0.2)"
24,LP (Enemy-Averse) Heuristic starting with everyone alone,3 Circles,"(0.7139286510590857, 0.004207305869388736)","(0.3501394117558663, 0.05327633381485291)","(np.float64(0.7326111542851772), np.float64(0.009873336704006629))","(4.476864330016542, 0.2918257588090017)",,"(0.2, 0.2)"
25,LP (Enemy-Averse) Heuristic starting with predicted number of clusters,3 Circles,"(0.7148026755852844, 0.03127625563022544)","(0.31259096594360647, 0.07152422253545278)","(np.float64(2.793691766046774), np.float64(1.6610145129806533))","(0.37003402998670937, 0.03636167565133562)",,"(0.2, 0.2)"
26,LP (Enemy-Averse) Heuristic starting with the output of k-means,3 Circles,"(0.75438127090301, 0.00673355629877368)","(0.39432087559108603, 0.01125540491563333)","(np.float64(0.9490085947646139), np.float64(0.026577884965260618))","(0.34909043997759, 0.024898116809698032)","(np.float64(0.544463768115942), np.float64(0.004630426965257142))","(0.2, 0.2)"
27,LP (Enemy-Averse) Heuristic starting with the output of dbscan,3 Circles,"(0.7590234113712375, 0.008091641619072278)","(0.38577927468136414, 0.014172128756682051)","(np.float64(0.9689432630615384), np.float64(0.033223610969053026))","(0.3528125500190072, 0.028358874987801864)","(np.float64(0.3439509476031216), np.float64(0.012503916208243445))","(0.2, 0.2)"
28,kmeans,Cancer,"(0.7503774845912029, 1.1102230246251565e-16)","(0.6972646156059464, 7.021666937153402e-17)","(np.float64(0.5044035685410989), np.float64(6.338974866624358e-16))","(0.003346789989154786, 0.00041578061085995873)",,"(0.2, 0.2)"
29,dbscan,Cancer,"(0.5316468229411618, 1.1102230246251565e-16)","(nan, 0.0)",,"(0.003661500022280961, 0.0002869006479973368)",,"(0.2, 0.2)"
30,LP (Balanced) Heuristic starting with everyone alone,Cancer,"(0.6786616005346666, 1.1102230246251565e-16)","(0.6631966226400527, 1.1102230246251565e-16)","(np.float64(0.3826830356389531), np.float64(9.46949302817578e-16))","(27.552599069999996, 0.9772656562225432)",,"(0.2, 0.2)"
31,LP (Balanced) Heuristic starting with predicted number of clusters,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 4.965068306494546e-17)","(np.float64(0.48208462856022294), np.float64(4.289112125928498e-16))","(1.2080764099955559, 0.0767917348767591)",,"(0.2, 0.2)"
32,LP (Balanced) Heuristic starting with the output of k-means,Cancer,"(0.6811307210574518, 1.1102230246251565e-16)","(0.6964651337508779, 4.965068306494546e-17)","(np.float64(0.48208462856022294), np.float64(4.289112125928498e-16))","(1.1701280100038276, 0.0819002954476516)","(np.float64(0.562127775439986), np.float64(0.011189253863020908))","(0.2, 0.2)"
