Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetition,Adjusted Rand Index,Silhouette Score,Seconds,Moves,Converged,Final Coalitions,Initial Adjusted Rand Index
KMeans,Moons,-,-,,,0,0.4789688417784687,0.4879604640613249,2.284565999987535,,,,
DBSCAN,Moons,-,-,,,0,0.9933554078979533,0.01750248885427213,0.007580099976621568,,,,
LocPop,Moons,B,S,0.2,0.2,0,0.2287764943366603,0.46156555457510573,0.5710624000057578,375.0,1.0,10.0,0.0
LocPop,Moons,B,P,0.2,0.2,0,0.23608261650532836,0.46633722421439433,0.041250200010836124,288.0,1.0,10.0,-0.0017613865491372272
LocPop,Moons,B,KM,0.2,0.2,0,0.23563439840559888,0.4647770835817577,0.03291050001280382,241.0,1.0,10.0,0.1861204301954155
LocPop,Moons,B,D,0.2,0.2,0,0.23563439840559888,0.4647770835817577,0.035065800009761006,239.0,1.0,10.0,0.23814133686340075
LocPop,Moons,AF,S,0.2,0.2,0,0.24137285002503722,0.29177141660874034,0.06570490001467988,323.0,1.0,12.0,0.0
LocPop,Moons,AF,P,0.2,0.2,0,0.24746690685205677,0.4696951832295325,0.03888469998491928,300.0,1.0,9.0,0.000243714010131625
LocPop,Moons,AF,KM,0.2,0.2,0,0.2411922081056192,0.44544465888432955,0.031410600000526756,221.0,1.0,10.0,0.1848830942260222
LocPop,Moons,AF,D,0.2,0.2,0,0.2411922081056192,0.44544465888432955,0.03544599999440834,219.0,1.0,10.0,0.24375559340715255
LocPop,Moons,AE,S,0.2,0.2,0,0.21806319271848673,0.42091429515456125,0.0731221999740228,394.0,1.0,12.0,0.0
LocPop,Moons,AE,P,0.2,0.2,0,0.22846272651326463,0.4440689044773284,0.0355318000074476,295.0,1.0,11.0,-0.0014291817134719441
LocPop,Moons,AE,KM,0.2,0.2,0,0.21855629035687657,0.4613602145911641,0.029632799967657775,248.0,1.0,11.0,0.18263434274065937
LocPop,Moons,AE,D,0.2,0.2,0,0.21855629035687657,0.4613602145911641,0.03429219999816269,246.0,1.0,11.0,0.2204377249941739
LocPop,Moons,B,S,0.25,0.35,0,0.2993108640043106,0.46929190992122843,0.06969780003419146,316.0,1.0,5.0,0.0
LocPop,Moons,B,P,0.25,0.35,0,0.34086636038368073,0.49358565966992796,0.052747200010344386,371.0,1.0,6.0,-0.002240628428122637
